species,confidence,date,time,rank,spectrogram,audio
Spotted Crake,0.992300271987915,2025-10-15,00:00:00,2,245AAA0563ED3DA7_20251015_000000_Spotted_Crake_42288s_conf0992.png,2025-10-15_00h00m_Spotted_Crake_42288s_conf0992.wav
Great Bittern,0.904094934463501,2025-10-14,00:00:00,2,245AAA0563ED3DA7_20251014_000000_Great_Bittern_42150s_conf0904.png,2025-10-14_00h00m_Great_Bittern_42150s_conf0904.wav
Great Bittern,0.8731499910354614,2025-10-14,12:25:26,3,245AAA0563ED3DA7_20251014_122526_Great_Bittern_3315s_conf0873.png,2025-10-14_12h25m_Great_Bittern_3315s_conf0873.wav
Lesser Spotted Woodpecker,0.3664405345916748,2025-10-14,12:25:26,2,245AAA0563ED3DA7_20251014_122526_Lesser_Spotted_Woodpecker_30672s_conf0366.png,2025-10-14_12h25m_Lesser_Spotted_Woodpecker_30672s_conf0366.wav
Tawny Owl,0.741028904914856,2025-10-14,00:00:00,3,245AAA0563ED3DA7_20251014_000000_Tawny_Owl_13308s_conf0741.png,2025-10-14_00h00m_Tawny_Owl_13308s_conf0741.wav
Eurasian Pygmy-Owl,0.3332183957099914,2025-10-14,00:00:00,2,245AAA0563ED3DA7_20251014_000000_Eurasian_Pygmy-Owl_11226s_conf0333.png,2025-10-14_00h00m_Eurasian_Pygmy-Owl_11226s_conf0333.wav
Common Scoter,0.2773169577121734,2025-10-15,00:00:00,3,245AAA0563ED3DA7_20251015_000000_Common_Scoter_35697s_conf0277.png,2025-10-15_00h00m_Common_Scoter_35697s_conf0277.wav
