common_name,scientific_name,start_s,end_s,confidence,label,file_index,filename,file_stem,recording_date,recording_start_time,absolute_timestamp
Spotted Crake,Porzana porzana,531.0,534.0,0.33385714888572693,Porzana porzana_Spotted Crake,4,245AAA0563ED3DA7_20251015_000000.WAV,245AAA0563ED3DA7_20251015_000000,2025-10-15,00:00:00,2025-10-15 00:08:51
Graylag Goose,Anser anser,1932.0,1935.0,0.47373294830322266,Anser anser_Graylag Goose,4,245AAA0563ED3DA7_20251015_000000.WAV,245AAA0563ED3DA7_20251015_000000,2025-10-15,00:00:00,2025-10-15 00:32:12
Lesser Spotted Woodpecker,Dryobates minor,1983.0,1986.0,0.27225184440612793,Dryobates minor_Lesser Spotted Woodpecker,4,245AAA0563ED3DA7_20251015_000000.WAV,245AAA0563ED3DA7_20251015_000000,2025-10-15,00:00:00,2025-10-15 00:33:03
Graylag Goose,Anser anser,2454.0,2457.0,0.5164086818695068,Anser anser_Graylag Goose,4,245AAA0563ED3DA7_20251015_000000.WAV,245AAA0563ED3DA7_20251015_000000,2025-10-15,00:00:00,2025-10-15 00:40:54
Great Bittern,Botaurus stellaris,4281.0,4284.0,0.33263731002807617,Botaurus stellaris_Great Bittern,4,245AAA0563ED3DA7_20251015_000000.WAV,245AAA0563ED3DA7_20251015_000000,2025-10-15,00:00:00,2025-10-15 01:11:21
Lesser Spotted Woodpecker,Dryobates minor,4983.0,4986.0,0.2597646415233612,Dryobates minor_Lesser Spotted Woodpecker,4,245AAA0563ED3DA7_20251015_000000.WAV,245AAA0563ED3DA7_20251015_000000,2025-10-15,00:00:00,2025-10-15 01:23:03
Ring-necked Pheasant,Phasianus colchicus,5475.0,5478.0,0.5354991555213928,Phasianus colchicus_Ring-necked Pheasant,4,245AAA0563ED3DA7_20251015_000000.WAV,245AAA0563ED3DA7_20251015_000000,2025-10-15,00:00:00,2025-10-15 01:31:15
Mallard,Anas platyrhynchos,7398.0,7401.0,0.2787286043167114,Anas platyrhynchos_Mallard,4,245AAA0563ED3DA7_20251015_000000.WAV,245AAA0563ED3DA7_20251015_000000,2025-10-15,00:00:00,2025-10-15 02:03:18
Eurasian Pygmy-Owl,Glaucidium passerinum,7959.0,7962.0,0.29078125953674316,Glaucidium passerinum_Eurasian Pygmy-Owl,4,245AAA0563ED3DA7_20251015_000000.WAV,245AAA0563ED3DA7_20251015_000000,2025-10-15,00:00:00,2025-10-15 02:12:39
Great Bittern,Botaurus stellaris,8166.0,8169.0,0.40480172634124756,Botaurus stellaris_Great Bittern,4,245AAA0563ED3DA7_20251015_000000.WAV,245AAA0563ED3DA7_20251015_000000,2025-10-15,00:00:00,2025-10-15 02:16:06
