common_name,scientific_name,start_s,end_s,confidence,label,file_index,filename,file_stem,recording_date,recording_start_time,absolute_timestamp
Graylag Goose,Anser anser,66.0,69.0,0.2942012548446655,Anser anser_Graylag Goose,2,245AAA0563ED3DA7_20251014_000000.WAV,245AAA0563ED3DA7_20251014_000000,2025-10-14,00:00:00,2025-10-14 00:01:06
Graylag Goose,Anser anser,96.0,99.0,0.48215511441230774,Anser anser_Graylag Goose,2,245AAA0563ED3DA7_20251014_000000.WAV,245AAA0563ED3DA7_20251014_000000,2025-10-14,00:00:00,2025-10-14 00:01:36
Great Snipe,Gallinago media,882.0,885.0,0.6660541892051697,Gallinago media_Great Snipe,2,245AAA0563ED3DA7_20251014_000000.WAV,245AAA0563ED3DA7_20251014_000000,2025-10-14,00:00:00,2025-10-14 00:14:42
Lesser Spotted Woodpecker,Dryobates minor,1362.0,1365.0,0.2794518768787384,Dryobates minor_Lesser Spotted Woodpecker,2,245AAA0563ED3DA7_20251014_000000.WAV,245AAA0563ED3DA7_20251014_000000,2025-10-14,00:00:00,2025-10-14 00:22:42
Graylag Goose,Anser anser,4914.0,4917.0,0.46684369444847107,Anser anser_Graylag Goose,2,245AAA0563ED3DA7_20251014_000000.WAV,245AAA0563ED3DA7_20251014_000000,2025-10-14,00:00:00,2025-10-14 01:21:54
Lesser Spotted Woodpecker,Dryobates minor,4917.0,4920.0,0.339143842458725,Dryobates minor_Lesser Spotted Woodpecker,2,245AAA0563ED3DA7_20251014_000000.WAV,245AAA0563ED3DA7_20251014_000000,2025-10-14,00:00:00,2025-10-14 01:21:57
Graylag Goose,Anser anser,5010.0,5013.0,0.2561650574207306,Anser anser_Graylag Goose,2,245AAA0563ED3DA7_20251014_000000.WAV,245AAA0563ED3DA7_20251014_000000,2025-10-14,00:00:00,2025-10-14 01:23:30
Pink-footed Goose,Anser brachyrhynchus,5016.0,5019.0,0.2990795075893402,Anser brachyrhynchus_Pink-footed Goose,2,245AAA0563ED3DA7_20251014_000000.WAV,245AAA0563ED3DA7_20251014_000000,2025-10-14,00:00:00,2025-10-14 01:23:36
Greater White-fronted Goose,Anser albifrons,5019.0,5022.0,0.276231050491333,Anser albifrons_Greater White-fronted Goose,2,245AAA0563ED3DA7_20251014_000000.WAV,245AAA0563ED3DA7_20251014_000000,2025-10-14,00:00:00,2025-10-14 01:23:39
Pink-footed Goose,Anser brachyrhynchus,5022.0,5025.0,0.33016374707221985,Anser brachyrhynchus_Pink-footed Goose,2,245AAA0563ED3DA7_20251014_000000.WAV,245AAA0563ED3DA7_20251014_000000,2025-10-14,00:00:00,2025-10-14 01:23:42
